SEQUENCE_NUMBER,ROUTE_LABEL,YEAR,DRAFT_AADT,PAST_AADT,AADT_CHANGE,AADT_COMMENT
91,US 59,2023,4583,5090,-0.0996,"18 Avg Hist (16 Cnt), 16 Avg Hist (14 Cnt), 14 RCL, Avg Hist, 08 AD, Avg Hist"
115,MN 87,2023,1737,1879,-0.0758,18 Avg Hist
116,MN 87,2023,1244,1446,-0.1397,"18 See Hist, 14 See Hist, 10 Avg Hist"
131,MN 87,2023,2043,2666,-0.2337,"23 See Hist, 18 AD, Avg Hist, 14 See Hist, 08 Avg Hist"
188,US 2,2023,6329,6900,-0.0828,"16 Avg Hist (14 Cnts), 14 RCH, Avg Hist, 10 Avg Hist, 08 Avg Hist"
193,US 71,2023,4737,4100,0.1554,"18 RCH, Avg Hist (16 Cnt), 16 Avg Hist (14 Cnt), 14 Avg Hist (10), 12 No AADT, 10 "
196,MN 89,2023,2090,2150,-0.0279,"16 Avg Hist, 08 RCL, Avg Hist"
201,MN 1,2023,196,230,-0.1478,"14 See Hist, 10 Avg Hist"
203,MN 89,2023,157,200,-0.215,"16 Avg Hist, 14 See Hist, 12 Avg Hist, 08 Avg Hist"
206,MN 1,2023,645,602,0.072,"18 Avg Hist, 14 See Hist, 10 Avg Hist, 08 Avg Hist"
207,MN 72,2023,1052,1357,-0.2245,"21 See Hist, 18 Avg Hist (16 Cnt), 16 RCL, AD Avg Hist, 14 See Hist, 10 Avg Hist, "
208,MN 1,2023,826,820,0.0073,"19 Avg Hist, 18 No AADT, 14 See Hist, 12 Avg Hist, 10 Avg Hist, 08 AD, See Hist "
210,MN 1,2023,344,342,0.0057,"19 Avg Hist, 12 See Hist, 10 Avg Hist, 08 RCL, Avg Hist"
215,MN 1,2023,3710,4050,-0.084,"18 Avg Hist, 14 See Hist"
216,MN 1,2023,5483,6000,-0.0862,"18 RCL, Avg Hist (16 Cnts), 16 No AADT, 14 See Hist, 12 Avg Hist, 10 Avg Hist"
217,MN 89,2023,3099,3800,-0.1845,"12 RCH, Avg Hist, 10 RCH, AD Avg Hist"
225,MN 89,2023,2867,2400,0.1946,"16 Avg Hist, 08 Avg Hist"
226,US 2,2023,10056,10000,0.0056,"19 AD, Avg Hist, 18 No AADT, 08 Avg Hist "
238,MN 72,2023,2463,1850,0.3314,"23 AD, See Hist, 18 RCH, AD Avg Hist (16 Cnt), 16 Avg Hist, 12 Avg Hist, 10 See "
269,MN 25,2023,2930,2500,0.172,"19 Avg Hist, 11 Avg Hist, 09 Avg Hist (06 Cnt), 06 Const, Est"
271,MN 95,2023,4465,4900,-0.0888,"17 RCH, Avg Hist, 11 Avg Hist, 09 See Hist, 06 Avg Hist"
272,MN 25,2023,2964,2550,0.1624,"09 Avg Hist (04 Cnt), 06 Est, Const"
281,MN 23,2023,5210,6500,-0.1985,"23 RCL, 17 RCH, Avg Hist (15 Cnt), 15 Avg Hist "
290,MN 25,2023,4694,3550,0.3223,"23 See Hist, 20 COVID"
291,MN 23,2023,6020,7700,-0.2182,"23 RCL, 17 AD, Avg Hist, 04 Est"
294,MN 23,2023,8125,10900,-0.2546,"23 RCL, 19 Avg Hist (17 Cnt), 17 Avg Hist, 09 Avg Hist"
297,MN 25,2023,5392,4600,0.1722,"19 Avg Hist, 15 AD See Hist, 13 RCL, Avg Hist (11), 09 Avg Hist"
298,MN 25,2023,3158,2550,0.2384,"23 RCH, 19 Avg Hist"
304,US 10,2023,20419,24000,-0.1492,"19 Model, Avg Hist, 17 Avg Hist, 15 Traf Pat Chng, 13 Avg Hist, See Surr, 09 Avg "
335,US 12,2023,749,1250,-0.4008,"23 RCL, AD, 20 COVID"
383,MN 7,2023,5308,3250,0.6332,"23 RCH, AD, 18 Avg Hist, 10 See Hist, 08 Avg Hist"
395,MN 30,2023,1055,1274,-0.1719,"21 See Hist, 19 See Hist, Avg Hist (18 Cnts), 18 RCL, Avg Hist, 17 No AADT, 11 "
403,MN 22,2023,5364,5500,-0.0247,"17 No AADT, 09 Loc Moved "
417,MN 60,2023,6547,6319,0.0361,"19 Model, Avg Hist, 18 RCH, Avg Hist (15 Cnt), 17 No AADT, 15 Avg Hist, 09 Hr "
419,US 14,2023,18545,17002,0.0907,"19 AD, See Hist, Avg Hist (18 Cnts), 18 Avg Curr, 17 No AADT, 15 No AADT"
422,CSAH 57,2023,2588,2700,-0.0415,"17 No AADT, 09 Avg Hist, 01 Est"
458,US 169,2023,2736,1800,0.52,"23 RCH, AD, 19 Avg Curr, 17 No AADT, 15 No AADT, 13 See Hist, 11 See Hist, 09 "
477,MN 22,2023,2521,2808,-0.1022,"19 RCL, AD Avg Hist, 17 No AADT, 15 No AADT, 11 Avg Hist"
478,MN 30,2023,1509,1752,-0.1387,"17 No AADT, 15 AD, See Hist, Avg Hist, 11 RCL, Avg Hist"
479,MN 22,2023,2621,3066,-0.1451,"19 Avg Hist, 17 No AADT, 15 AD, Avg Hist, See Hist, 11 Avg Hist, 09 Avg Hist"
480,MN 30,2023,1538,1757,-0.1246,"17 No AADT, 15 Avg Hist, 11 RCL, Avg Hist (09 Cnt), 09 RCL, Avg Hist, 06 Avg Hist"
481,MN 30,2023,1726,2102,-0.1789,"17 No AADT, 15 Avg Hist, 11 RCL, Avg Hist"
608,MN 210,2023,3645,3697,-0.0142,"16 AD, See Hist, 14 See Hist, 08 Avg Hist"
622,MN 73,2023,1355,1700,-0.2029,"23 RCL, AD, 08 Avg Hist, 06 See Hist"
624,MN 210,2023,621,710,-0.1254,"18 AD, Avg Hist, 14 RCL, Avg Hist, 12 See Hist, 10 Avg Hist, 08 RCH, AD Avg Hist "
625,MN 210,2023,2937,3497,-0.1601,"14 See Hist, 10 See Hist, 08 Avg Hist, 02 Est"
630,MN 45,2023,7446,7342,0.0142,"22 See Hist, 16 Avg Hist, 12 Avg Hist, 10 Avg Hist, 08 See Hist, 06 Est"
683,MN 210,2023,6535,6510,0.0038,"19 Avg Hist, 09 Avg Hist (04-09), See Hist"
684,MN 64,2023,2667,3583,-0.2557,"23 RCL, 19 Avg Hist (17 Cnt), 17 Avg Hist (15 Cnt), 15 RCH, AD Avg Hist, 13 See "
686,MN 64,2023,1924,2311,-0.1676,"19 Avg Hist, 13 Avg Hist, 12 Loc Moved, 11 Avg Hist "
690,MN 84,2023,818,941,-0.1307,15 Avg Hist
693,MN 87,2023,578,593,-0.0253,"19 Avg Hist, 13 See Hist, 11 See Hist, 09 Avg Hist, See Hist"
696,MN 84,2023,1241,1327,-0.0648,13 See Hist
698,MN 84,2023,1354,1367,-0.0095,"19 Avg Hist (17 Cnt), 17 Avg Hist, 13 Avg Hist, 11 Avg Hist"
699,MN 84,2023,1062,1104,-0.038,"19 Avg Hist, 13 RCL, Avg Hist"
700,MN 87,2023,1369,1232,0.111,"19 Avg Hist, 17 See Hist, 15 Avg Hist, 09 Avg Hist, 06 Avg Hist"
702,MN 84,2023,812,938,-0.1343,"19 Avg Hist, 13 Avg Hist"
706,MN 200,2023,3705,3960,-0.0644,"11 Avg Hist, 09 Avg Hist, 06 Avg Hist, 04 Avg Hist"
707,MN 200,2023,2690,2755,-0.0236,"19 Avg Hist (17 Cnt), 17 Avg Hist, 11 Avg Hist, 04 Est"
708,MN 34,2023,3055,2654,0.1513,"19 See Hist, 17 Avg Hist, 11 Avg Hist, 09 Avg Hist"
712,MN 371,2023,5333,5169,0.0317,"15 Avg Hist (13 Cnts), 13 RCL, Avg Hist (11 Cnt), 11 Avg Hist, See Hist, 09 RCL, "
714,MN 371,2023,3718,3655,0.0173,"19 No AADT, 15 Avg Hist (13 Cnt), 11 Avg Hist, See Hist"
718,MN 6,2023,1418,1450,-0.0221,"19 See Hist, 17 AD, Avg Hist (15 Cnt), 15 RCH, AD Avg Hist, 13 RCL, Avg Hist, 11 "
719,MN 200,2023,2160,2164,-0.002,"20 COVID, 11 Avg Hist "
723,MN 371,2023,2847,2885,-0.013,20 COVID
729,MN 371,2023,4340,4493,-0.0341,"19 Avg Hist (17 Cnts), 17 Avg Curr, 09 RCL, Avg Hist"
732,MN 371,2023,5702,6276,-0.0914,15 Avg Hist 
740,MN 84,2023,1417,1638,-0.1349,"19 Avg Hist (17 Cnt), 17 Avg Hist, 13 RCL, Avg Hist, 11 See Hist, 09 Avg Hist"
745,MN 84,2023,2778,3064,-0.0933,"19 Avg Hist, 13 RCL, Avg Hist, 09 Avg Hist"
756,MN 6,2023,1738,1730,0.0044,"19 Avg Hist (17 Cnt), 17 Avg Hist, 13 RCH, Avg Hist (11 CNT), 11 RCL, AD Avg "
759,MN 6,2023,3135,3549,-0.1167,"19 RCH, Avg Hist, 13 See Hist, 09 RCL, Avg Hist"
784,MN 84,2023,987,1059,-0.068,"17 See Hist, 15 RCL, Avg Hist, 13 Avg Curr, 11 See Hist, 09 RCH, Avg Hist (04-09)"
785,MN 84,2023,2415,2265,0.0662,"17 AD, Avg Hist (15 Cnts), 15 RCH, Avg Hist (13 Cnts), 13 RCL, Avg Hist (11 "
786,MN 84,2023,1690,1821,-0.0719,"17 Avg Hist (15 Cnt), 15 Avg Hist (13 Cnt), 13 See Hist, 11 Avg Hist"
813,MN 29,2023,846,707,0.1965,"13 Loc Moved, 12 Avg Hist (10 Cnt), 08 RCL, AD Avg Hist"
814,MN 40,2023,727,631,0.1513,"18 RCL, Avg Hist, 12 Avg Hist (10 Cnt), Loc Moved, 10 Avg Hist, 08 Avg Curr"
836,MN 29,2023,4736,4050,0.1694,"23 See Hist, 12 Avg Hist, 08 RCL, AD Avg Hist"
841,MN 7,2023,7574,7338,0.0322,"16 Avg Hist, 12 See Hist, 10 Avg Hist"
842,MN 7,2023,7340,6895,0.0646,"16 Avg Hist (14 Cnts), 14 RCH, Avg Hist, 12 AD Avg Hist, 10 RCL, See Hist, 08 Loc "
843,MN 7,2023,7804,8100,-0.0365,"14 RCL, AD, 10 Avg Hist"
846,MN 29,2023,1277,1333,-0.0418,"18 RCL, Avg Hist, 14 Avg Hist, 12 Loc Moved, 08 Est Hist"
847,MN 29,2023,7536,7439,0.013,"14 See Hist, 08 AD Avg Hist"
853,MN 243,2023,6335,5686,0.1142,"19 Avg Hist, 17 See Hist, 15 Avg Curr, 14 Avg Hist (13 Cnt), 13 See Hist, 09 Est, 08 "
886,MN 95,2023,10455,12300,-0.15,"13 Avg Curr, 11 Est Hist, 09 Avg Hist"
888,MN 95,2023,15666,15400,0.0173,"23 See Hist, 15 Avg Hist, 11 See Hist, 09 Avg Hist"
889,MN 95,2023,20538,20467,0.0035,"21 Model, 17 Avg Hist, 09 Avg Hist"
930,US 75,2023,1167,1354,-0.1381,"19 Avg Hist (17 Cnt), 17 Avg Hist, 15 See Surr, New Dev, 13 See Surr, Avg Hist, 11 "
940,MN 9,2023,938,866,0.0831,"19 Avg Hist (17 Cnt), 17 Avg Hist, 13 Avg Hist "
957,MN 32,2023,2060,2082,-0.0106,"21 RCH, 19 Avg Hist"
1052,MN 92,2023,906,1125,-0.1944,20 COVID
1053,MN 200,2023,509,450,0.1311,"17 Avg Hist (15 Cnt), 15 Avg Hist, 11 Avg Hist "
1056,MN 92,2023,1751,1732,0.0111,"21 See Hist, 20 COVID, 13 Avg Hist, 09 Loc Moved "
1057,MN 92,2023,1825,1855,-0.0162,"15 Avg Hist, 13 Avg Hist "
1058,MN 223,2023,313,315,-0.0072,"20 COVID, 11 Avg Hist "
1059,MN 92,2023,2270,2350,-0.034,15 Avg Curr
1060,MN 92,2023,1240,1350,-0.0815,"19 Avg Hist, 13 Avg Hist"
1063,MN 223,2023,535,430,0.2442,"17 Avg Hist, 11 Avg Curr, See Hist, 09 RCH, Avg Hist"
1064,MN 92,2023,2426,2550,-0.0486,17 Avg Hist
1115,MN 30,2023,798,751,0.0626,"18 Avg Hist (16 Cnt), 16 Avg Hist, 14 See Hist, 10 Avg Hist, 08 Avg Hist"
1120,MN 30,2023,863,1227,-0.2967,"23 RCL, AD, 20 COVID, 02 Est Hist"
1125,MN 60,2023,9489,8816,0.0763,"16 See Surr, AD Avg Hist, 12 Dir Calc, See Hist, 10 Avg Hist"
1148,MN 30,2023,1176,1102,0.0672,"18 Avg Hist, 10 RCH, AD Avg Hist, 08 Avg Hist"
1149,MN 30,2023,1120,1130,-0.0088,"14 RCH, AD Avg Hist"
1154,MN 25,2023,1785,2119,-0.1576,"11 See Hist, 09 Est Hist"
1163,MN 18,2023,5790,6348,-0.088,"17 Avg Hist, 13 Avg Hist"
1166,MN 6,2023,2904,3097,-0.0624,"11 RCL, Avg Hist (09 CNT), 09 Loc Moved, Avg Hist"
1174,MN 210,2023,10833,10100,0.0726,"13 Avg Hist, 11 Avg Hist"
1176,CSAH 3,2023,9310,9500,-0.02,19 Avg Hist
1184,CSAH 3,2023,6350,8100,-0.216,"23 RCL, 19 Avg Hist, 11 RCL, Avg Hist"
1188,MN 6,2023,2482,2415,0.0277,"19 Avg Hist (17 Cnt), 17 Avg Hist (15 Cnt), 15 Avg Hist"
1191,MN 6,2023,3391,3465,-0.0214,"19 See Hist, 17 RCH, Avg Hist (15 Cnt), 15 Avg Hist (13 Cnt), 09 Avg Hist (04-09)"
1214,M 283,2023,2871,3000,-0.043,"19 Realigned, 17 Realigned, 15 Avg Hist, 11 RCH, Avg Hist (09 CNT), 09 Avg Hist"
1223,MN 6,2023,2521,2369,0.0642,"17 Avg Hist, 13 See Hist, 11 RCL, AD Avg Hist"
1226,MN 6,2023,2384,2586,-0.0781,"19 RCH, Avg Hist (17 Cnt), 17 AD, Avg Hist (15 Cnt), 15 Avg Hist, 11 RCL, Avg Hist"
1243,MN 210,2023,25718,27888,-0.0778,15 Avg Hist
1247,MN 371B,2023,5175,4933,0.0491,"17 No AADT, 13 RCL, Avg Hist (11 Cnts), Loc Moved, 11 RCL, Avg Hist (06), 09 Est "
1282,CSAH 3,2023,7944,9200,-0.1365,"15 Avg Hist, 11 RCL, Avg Hist"
1284,CSAH 3,2023,9481,9800,-0.0326,"19 Avg Hist, 11 RCL, Avg Hist"
1299,MN 56,2023,4397,3800,0.1571,"19 Model, 11 See Hist, 09 RCL, Avg Hist, 07 Loc Moved, 06 Avg Hist, 02 Loc Moved"
1416,MN 22,2023,719,720,-0.0014,20 COVID
1429,CSAH 23,2023,633,610,0.0377,"15 No AADT, 11 Avg Hist, 09 Est"
1445,MN 22,2023,1576,1750,-0.0994,"19 RCH, AD, See Hist, 18 RCL, Avg Hist (17-15), 17 No AADT, 15 Avg Hist, 13 See "
1447,US 169,2023,2351,2400,-0.0204,"19 Avg Hist (17 Cnt), 17 Avg Hist (15 Cnt), 15 Avg Hist, See Surr, 13 RCL, Avg Hist"
1452,US 169,2023,2239,2700,-0.1707,"17 See Hist, 15 Avg Hist (13 Cnt), See Surr, 13 RCH, Avg Hist, 09 Avg Hist "
1456,MN 22,2023,591,780,-0.2423,"17 AD, Avg Hist, 11 Avg Hist, 09 Avg Hist"
1457,MN 22,2023,452,590,-0.2339,"17 No AADT, 13 Avg Hist (11 Cnt), 11 Avg Hist "
1462,US 169,2023,2849,2800,0.0175,"19 Avg Hist (17 Cnt), 17 Avg Hist, 09 RCL, Avg Hist"
1464,US 169,2023,3355,4050,-0.1716,"19 Avg Hist (17 Cnt), 17 Avg Hist (15 Cnt), 15 Avg Hist, 09 Avg Hist"
1475,US 169,2023,1731,2150,-0.1949,"17 Avg Hist, 15 No AADT, 11 Avg Hist, 09 Avg Curr, Avg Hist"
1495,MN 43,2023,932,985,-0.0535,"19 Avg Hist, 11 Est Hist, 09 Avg Hist"
1497,US 52,2023,3081,2800,0.1004,"19 See Hist, 17 No AADT, 13 Avg Hist"
1498,US 52,2023,2651,2647,0.0015,"19 Model, RCH, Avg Hist, 09 Avg Surr, (Iowa Cnt 2160) "
1499,MN 44,2023,2358,2100,0.1229,"19 Avg Hist (17 Cnt), 17 Avg Hist (15 Cnts), 15 Avg Curr, Avg Hist, 09 Est Surr, Est "
1501,MN 139,2023,806,991,-0.1867,"21 See Hist, 13 Avg Hist, 11 Loc Moved, Avg Hist "
1558,MN 43,2023,1327,1250,0.0616,"13 Avg Hist, 11 Avg Hist"
1559,MN 44,2023,2480,2400,0.0333,"19 Avg Hist, 17 See Hist, 15 Avg Hist, 13 Avg Hist, 09 Avg Hist"
1592,US 52,2023,5813,6200,-0.0624,"15 Avg Hist, 09 Avg Hist"
1598,MN 43,2023,3319,4150,-0.2002,"23 RCL, 17 Avg Hist, 13 Avg Hist, 09 Avg Hist"
1612,I 90,2023,13455,12700,0.0594,"19 Model, Avg Curr, 13 Avg Hist"
1618,MN 251,2023,709,880,-0.1943,17 Avg Hist
1645,US 65,2023,3657,4500,-0.1873,"15 No AADT, 13 Avg Hist, 11 Est Hist, 09 Loc Moved"
1659,US 65,2023,11625,13200,-0.1193,13 Loc Moved
1662,US 65,2023,13997,15100,-0.073,"11 Dir Calc, Avg Hist"
1669,MN 13,2023,7154,8600,-0.1681,"23 RCL, AD, 11 RCL, Avg Hist, 09 Avg Hist"
1670,MN 13,2023,6245,7300,-0.1445,"19 Model, 15 Avg Hist, 11 Avg Hist, 09 Avg Hist, 02 Est"
1675,US 65,2023,4207,4550,-0.0754,"11 Dir Calc, See Hist, 09 Avg Hist"
1677,I 35,2023,28135,29000,-0.0298,"22 See Hist, 15 Avg Hist, 11 Dir Calc, 09 Avg Hist"
1679,I 90,2023,13475,10000,0.3475,"23 See Hist, 19 Model, AD, Avg Hist (17 Cnt), 17 Avg Hist, 13 Avg Hist, Dir Calc"
1681,I 35,2023,18217,21600,-0.1566,"23 See Hist, 19 Model, 17 No AADT, 15 No AADT, 11 Loc Moved, 09 See Hist"
1686,I 90,2023,15491,12600,0.2294,"23 See Hist, 19 Model, Avg Curr, 15 Avg Hist"
1692,MN 60,2023,1711,1850,-0.0751,"17 No AADT, 11 See Hist, 09 Avg Hist, See Hist "
1697,MN 57,2023,1355,1600,-0.1531,"17 AD, Avg Hist (15 Cnt), 15 AD Avg Hist (13 Cnt)"
1703,MN 57,2023,1706,1658,0.0291,"21 See Hist, 19 AD, Avg Hist"
1960,MN 226,2023,2508,2150,0.1665,20 COVID
1971,MN 200,2023,1631,1709,-0.0454,"19 RCH, Avg Hist, 17 See Hist, 13 Avg Hist (11 Cnt), 11 Avg Hist, 09 Loc Moved"
1982,US 71,2023,6994,6100,0.1466,"19 Avg Hist (16 Cnt), 18 No AADT, 16 AD, Avg Hist, 13 Loc Moved, 10 Avg Hist, 08 "
2031,MN 65,2023,11092,12400,-0.1055,"18 Avg Hist (16 Cnt), 16 Avg Hist, 12 Avg Hist, 08 Avg Hist, 04 Est"
2035,MN 65,2023,11593,11080,0.0463,"16 RCH, Avg Hist, 12 Avg Hist, 10 See Hist, 08 Est Hist Surr"
2038,MN 65,2023,6990,6203,0.1269,"16 RCH, Avg Hist, 12 Avg Hist, 08 Avg Hist"
2058,MSAS 121,2023,3120,3550,-0.1211,"16 Avg Hist, 10 Avg Hist, 08 Avg Hist, Const"
2067,MN 65,2023,1251,870,0.4379,"23 RCH, 17 Avg Hist, 13 RCL, Avg Hist, 11 Avg Curr, See Hist, 09 Avg Hist, See "
2068,MN 65,2023,1168,900,0.2978,"23 See Hist, 13 RCL, See Hist, 09 RCL, Avg Hist, 06 Avg Hist"
2069,MN 65,2023,1300,1250,0.04,"15 Avg Hist, 13 Avg Hist, 09 RCL, Avg Hist"
2072,US 2,2023,3880,4000,-0.03,"11 Avg Hist, See Hist"
2073,US 169,2023,3581,4100,-0.1266,"19 Avg Hist (17 Cnt), 17 Avg Hist, 13 Avg Hist"
2074,US 169,2023,5494,5300,0.0366,"23 Avg Curr, 19 Avg Hist (17 Cnt), 17 Avg Hist (15 Cnt), 15 Avg Hist, 11 Avg Hist"
2075,US 169,2023,5485,6400,-0.143,"19 See Hist, 17 AD, Avg Hist, 13 Avg Hist, 11 Avg Hist"
2076,US 169,2023,7035,8800,-0.2006,"23 RCL, AD, 19 Avg Hist (17 Cnt), 17 AD, Avg Hist (15 Cnt), 15 Avg Hist"
2077,MN 65,2023,853,1000,-0.147,"19 Model, Avg Hist, 15 Avg Hist"
2078,US 169,2023,9375,10500,-0.1071,"23 RCL, AD, 17 Avg Hist, 11 Avg Hist"
2079,US 169,2023,11547,12200,-0.0535,92-96 Est 
2080,MN 38,2023,4204,5000,-0.1592,"23 See Hist, AD, 15 No AADT, 11 RCL, See Hist, 09 RCL, Avg Hist"
2082,MN 38,2023,1931,2200,-0.1223,"11 See Hist, 09 Avg Hist"
2084,US 2,2023,12944,13300,-0.0268,"17 No AADT, 15 No AADT, 09 Avg Hist (00), See Hist, 06 Est, 04 Est, 02 Est"
2086,US 2,2023,9577,10900,-0.1214,"19 Avg Hist, 17 No AADT, 13 Avg Hist, 11 Avg Hist, 09 Avg Hist, 06 Avg Curr, 04 "
2088,US 2,2023,8803,9600,-0.083,"17 RCH, Avg Hist (15 Cnt), 15 Avg Hist (13 Cnts), 11 Avg Hist, 09 Avg Hist"
2092,US 2,2023,5955,7200,-0.1729,"23 RCL, 13 RCL, See Hist, 11 RCL, AD Avg Hist, 09 Avg Hist"
2094,MN 6,2023,375,415,-0.0964,"19 Avg Hist, 11 See Hist, 09 RCL, Avg Hist"
2095,MN 6,2023,698,880,-0.2068,"17 RCH, Avg Hist, 13 Avg Hist, 09 Avg Hist"
2097,US 2,2023,5512,6000,-0.0813,"19 Avg Hist (17 Cnt), 17 Avg Hist, 13 Avg Hist, 09 Avg Hist"
2102,MN 65,2023,1851,1700,0.0888,"19 Model, Avg Hist (17 Cnt), 17 Avg Hist, 13 RCL, AD Avg Hist"
2105,US 169,2023,6093,5304,0.1487,"21 See Surr, 19 AD, Model, Avg Hist, 17 No AADT, 15 Dir Calc, 09 Avg Hist, 06 Avg "
2107,MN 65,2023,2439,2050,0.1898,"23 See Hist, 19 Model, 15 Avg Curr, 13 See Hist, 09 RCL, Avg Hist"
2108,MN 65,2023,1323,1250,0.0584,"20 COVID, 96-92 Est"
2117,MN 6,2023,2149,2150,-0.0005,"17 Avg Hist, 09 Avg Hist"
2120,MN 6,2023,1148,1100,0.0436,"15 Avg Hist, 09 Avg Hist"
2122,MN 6,2023,1131,930,0.2161,"17 Avg Hist, 09 Avg Hist"
2125,MN 46,2023,883,1050,-0.159,"19 Avg Hist, 13 See Hist, 11 RCL, See Hist, 09 Avg Hist, See Hist, 06 Est"
2126,MN 46,2023,717,910,-0.2121,"13 See Hist, 11 See Hist, 09 Avg Hist, See Hist, 06 Est"
2128,MN 46,2023,570,600,-0.05,"09 Est Hist, 06 Est"
2132,MN 65,2023,700,790,-0.1139,"19 Avg Hist, 09 Avg Hist"
2133,MN 65,2023,256,320,-0.2,"19 Avg Hist, 11 Avg Hist"
2135,MN 38,2023,1119,1250,-0.1048,"17 Avg Hist (15 Cnt), 15 Avg Hist (13 Cnts), 13 Avg Hist, 09 Avg Hist"
2137,MN 38,2023,957,1250,-0.2344,"17 Avg Hist (15 Cnt), 15 Avg Hist (13 Cnt), 13 Avg Hist"
2141,MN 1,2023,117,85,0.3765,"19 AD, Avg Hist, 15 Avg Hist"
2143,MN 65,2023,215,60,2.5833,"23 New Dev, 19 See Hist, 09 Avg Hist"
2147,MN 1,2023,473,380,0.2447,"19 Avg Curr, 11 See Hist, 09 Avg Hist"
